orig_idx,label,anomaly_score
64,0,26.457715034484863
83,0,8.134049415588379
68,0,47.99496555328369
118,0,23.195877075195312
17,0,17.632104635238647
42,0,63.667426109313965
106,0,27.842947483062744
142,0,22.5667667388916
143,0,15.18778681755066
60,0,23.289754390716553
108,0,64.4629716873169
4,0,24.620215892791748
87,0,10.458279848098755
96,0,14.565502882003784
122,0,40.240296363830566
66,0,132.02430725097656
115,0,15.256805419921875
133,0,28.010599613189697
144,0,23.32618474960327
78,0,48.737454414367676
91,0,83.08520317077637
101,0,19.686696529388428
114,0,32.654820919036865
72,0,67.86063194274902
93,0,51.61606788635254
35,0,15.4694664478302
128,0,22.518773078918457
44,0,31.869328022003174
141,0,19.302260875701904
27,0,19.93216633796692
10,0,27.399773597717285
61,0,20.120275020599365
97,0,27.578308582305908
132,0,33.8035774230957
105,0,25.68974733352661
99,0,40.15956401824951
1,0,27.12390422821045
92,0,101.13076210021973
116,0,24.503393173217773
75,0,84.14456367492676
82,0,33.517231941223145
130,0,15.405596733093262
53,0,108.81792068481445
20,0,25.300629138946533
113,0,210.52562713623047
5,0,12.916158437728882
90,0,111.1722354888916
40,0,21.397382736206055
98,0,19.11345362663269
2,0,13.381760120391846
12,0,21.569178104400635
13,0,26.516873836517334
135,0,27.926857471466064
145,0,41.94854259490967
146,0,35.32689905166626
43,0,17.58200216293335
11,0,60.200114250183105
62,0,51.943092346191406
147,0,12.504745721817017
50,0,27.85041570663452
57,0,15.922207832336426
54,0,43.242859840393066
103,0,98.09489250183105
3,0,26.21103048324585
46,0,20.276236534118652
81,0,20.146188735961914
55,0,66.9392204284668
39,0,13.486561298370361
73,0,25.071091651916504
76,0,34.4846773147583
107,0,25.41348695755005
15,1,146.25551223754883
37,1,168.5584259033203
45,1,53.19352149963379
79,1,190.3736114501953
137,1,177.75875091552734
140,1,264.803466796875
